Classifier,Best Threshold,Precision,Recall,F1 Score,Accuracy
05995,7,80.7,92.0,85.98,85.0
199,12,82.69,86.0,84.31,84.0
298,19,82.8,77.0,79.79,80.5
0599,9,83.18,89.0,85.99,85.5
0598,8,73.13,98.0,83.76,81.0
1995,7,79.65,90.0,84.51,83.5
198,10,75.97,98.0,85.59,83.5
2995,11,81.0,81.0,81.0,81.0
299,12,79.44,85.0,82.13,81.5
